metadata,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,lang
[object Object],Sun Nov 22 20:54:41 +0000 2015,668533079674196000,668533079674195968,"#Election2015News || Justin Trudeau's deficit unnecessary, but inevitable - Winnipeg Sun:... https://t.co/mrswqo3zJP
 [ #Canada Election ]","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,,,[object Object],,,,,false,0,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 18:01:53 +0000 2015,668489593956659200,668489593956659200,RT @CBCNorth: Follow the N.W.T. election with CBC North https://t.co/kppNCJe5rw,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,,,,,,[object Object],,,,,false,4,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 15:29:07 +0000 2015,668451145661050900,668451145661050880,"#Election2015News || Black codes and anti-black terrorism - Daily Kos: Daily KosBlack cod... https://t.co/vQRwo2WXmc
 [ #Canada Election ]","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,,,[object Object],,,,,false,0,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 23:58:01 +0000 2015,668579214619086800,668579214619086848,"#Election2015News || Trudeau is style over substance on climate - Toronto Sun: Toronto Su... https://t.co/x1pvqLxDMz
 [ #Canada Election ]","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,,,[object Object],,,,,false,0,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 21:08:26 +0000 2015,668536537970143200,668536537970143232,"#Election2015News || Provincial finance ministers primed for first date with new federal ... https://t.co/mM8mWDxulm
 [ #Canada Election ]","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,,,[object Object],,,,,false,0,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 18:46:54 +0000 2015,668500922889207800,668500922889207808,"#Election2015News || Provincial finance ministers primed for first date with new federal ... https://t.co/MMfNOU9rZC
 [ #Canada Election ]","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,,,[object Object],,,,,false,0,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 17:15:54 +0000 2015,668478022664634400,668478022664634368,"#Election2015News || 'Hottie' Justin Trudeau returns to cold reality of Ottawa: Walkom - ... https://t.co/MZZz6bAoXJ
 [ #Canada Election ]","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,,,[object Object],,,,,false,0,0,[object Object],false,false,false,en
[object Object],Sun Nov 22 17:07:16 +0000 2015,668475848983343100,668475848983343104,"I had a dream Donald Trump won the election and became president and my parents were like ""alright lets go to Canada this country is fucked""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,,,,,,[object Object],,,,,false,0,3,[object Object],false,false,,en
[object Object],Sun Nov 22 20:24:16 +0000 2015,668525423735631900,668525423735631872,RT @SamErinJacob: I will move to Canada if trump wins the election.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,,,[object Object],,,,,false,2,0,[object Object],false,false,,en
[object Object],Sun Nov 22 19:05:25 +0000 2015,668505580844126200,668505580844126208,I will move to Canada if trump wins the election.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,,,[object Object],,,,,false,2,2,[object Object],false,false,,en
