No.,Comment,Article URL,Platform,Pre-Sales-Sales-sales/Post-sales,Intent To Buy (Yes/ No/NA),Conversation Drivers (Product Attributes/ Pricing/ Experience of Using Product/ Customer Service/ Other),Sentiment (Positive/ Neutral/ Negative),Enquiry/ Compaint/ Praise/Other,Notes
1,"Get Karpine Lenovo A6000 Flip Cover & Screen Guard Combo for Rs 449 Only (MRP Rs 1,298)  - http://t.co/J8A6h2FHaL  - http://t.co/FkUYPMQC0Z",http://twitter.com/BaniyaDeals/statuses/582413965319221248,TWITTER,,,,Neutral,,
2,RT @Lenovo_in We‰Ûªve all had our phone‰Ûªs batteries die when it was needed the most.Tell us about some of your funniest #PhoneyFails! http://t.co/417jk8k52l,http://twitter.com/UniversalDelhi/statuses/582412330475999232,TWITTER,,,,Neutral,,
3,@flipkartsupport @Lenovo_in It will support video call or not ? A6000,http://twitter.com/_santhoshonline/statuses/582411232268787712,TWITTER,Pre-sales,NA,Product Attributes ,Neutral,Enquiry,
4,#FlipkartDeal Discount: FREE charging case Lenovo Vibe X2 http://t.co/tbPC6CrHHS http://t.co/0AsY2sYuv6,http://twitter.com/indiaOnDeals/statuses/582407748190507008,TWITTER,,,,Neutral,,
5,Lenovo A6000 Picture Gallery http://t.co/T4sxTebyNX #Lenovo #LenovoA6000 #A6000 #Android,http://twitter.com/Im_Ashwin/statuses/582403645016137729,TWITTER,,,,Neutral,,
6,TechoTweet: Lenovo A6000 : Cheapest 4G Phone http://t.co/Arc7UKt4uU,http://twitter.com/TheTechoTweet/statuses/582389492042113024,TWITTER,,,,Neutral,,
7,TechoTweet: Lenovo S90 Selfie 4G : Selfie Lovers Will Love It http://t.co/0hltOJIewQ,http://twitter.com/TheTechoTweet/statuses/582389270410854400,TWITTER,,,,Positive,,
8,TechoTweet: Lenovo Vibe Shot : Always Confusing: Phone Or Came... http://t.co/fQGW2YgjxI,http://twitter.com/TheTechoTweet/statuses/582386982602571777,TWITTER,,,,Neutral,,
9,TechoTweet: Lenovo A7000 : Next Stock Killer Phone By Lenovo http://t.co/7Ia5VNX789,http://twitter.com/TheTechoTweet/statuses/582386847596326912,TWITTER,Pre-sales,NA,Product Attributes,Neutral,Praise,
10,"RT @Lenovo_VIBE There‰Ûªs nothing faux about a phone this quick, 100% genuine Intel-powered speed. #P90 #FastFurReal http://t.co/W8DKjS11va",http://twitter.com/sathishmechy1/statuses/582378180050358272,TWITTER,,,,Neutral,,
11,Brown Leather Belt Pouch Flip Cover for Lenovo A6000 http://t.co/9quUIepewr,http://twitter.com/indiacod/statuses/582360781418823680,TWITTER,,,,Neutral,,
12,Rainbow Scratch Guard Screen Protector for Lenovo A6000 Clear/Glossy http://t.co/bjnFmme2Ig,http://twitter.com/indiacod/statuses/582360777841082368,TWITTER,,,,Neutral,,
13,Lenovo A6000 Pull Up Slip In Pouch Black Colour http://t.co/1sQyN4MeoR,http://twitter.com/indiacod/statuses/582360777325178881,TWITTER,,,,Neutral,,
14,Support Stand Holder for Lenovo A6000 http://t.co/IJ3ToQ1Hk9,http://twitter.com/indiacod/statuses/582360771218243584,TWITTER,,,,Neutral,,
15,Black Leather Belt Pouch Flip Cover for Lenovo A6000 Smartphone http://t.co/13BmugBRQ3,http://twitter.com/indiacod/statuses/582360766533279744,TWITTER,,,,Neutral,,
16,Branded Tempered Glass Screen Protector for Lenovo A6000 http://t.co/H0YV5vId1t,http://twitter.com/indiacod/statuses/582360725387120641,TWITTER,,,,Neutral,,
17,Leather Flip Cover with perfect Pre-Sales-Salescise cuts and holes for Lenovo A6000 Mobile Phone http://t.co/iuKFqS8H0d,http://twitter.com/indiacod/statuses/582360717279432704,TWITTER,,,,Positive,,
18,#deals #Lenovo A536 White is selling cheaper at INR 6694 today http://t.co/5iEmHRP4dK #flipkart,http://twitter.com/pricetrak/statuses/582355645740924929,TWITTER,,,,Neutral,,
19,@SamsungMobileIN @Micromax_Mobile @HTC_IN @LGUSAMobile @Lenovo_in @VideoconHandset  @Airtel_Presence @ideacellular  http://t.co/d0vnvOWUoS,http://twitter.com/dhansurajya/statuses/582246423778848768,TWITTER,,,,Neutral,,
20,@Lenovo_in need to replace old Lenovo ThinkPad with new Flex pad. Earlier there was a combo offer with smartphone. Can we have that offer,http://twitter.com/gkundra/statuses/582223049845407745,TWITTER,Pre-sales,Yes,Pricing,Neutral,Enquiry,
21,"#Lenovo #A7000, sub-10000 INR category 4G/LTE Android phone coming soon to India http://t.co/6Ogd3WTQea #phones",http://twitter.com/PCTabletIn/statuses/582191558730117120,TWITTER,,,,Neutral,,
22,#Lenovo #SisleyS90 with 64 bit snapdragon 410 processor launched for Rs. 19990/-  The Lenovo Sisley S90 is just... http://t.co/DjXPAZ2oJb,http://twitter.com/AasimKhanno1/statuses/582131627784044544,TWITTER,,,,Neutral,,
23,Wowww - Lenovo A6000 4G Mobile Open Sale Starts - No Registration Required - Buy Now - First 4G Mobile only @ Rs.... http://t.co/6ywy5rEUdi,http://twitter.com/SLMobilePrice/statuses/582087716067786752,TWITTER,,,,Neutral,,
24,Black Leather Belt Flip Cover for New Launch Mobile Smartphone Lenovo Vibe Shot http://t.co/LxLoLNKA8Z,http://twitter.com/indiacod/statuses/582061045750980609,TWITTER,,,,Neutral,,
25,"Dear @Lenovo_in  I got a faulty p780 phone, running pillar to post for this. No one is listening for last 6 months @IntelIndia @nixxin",http://twitter.com/ramnkumar/statuses/582055088950128640,TWITTER,Post-sales,No,Customer Service,Neutral,Complaint,
26,"@Lenovo_in I purchased Lenovo P780. hangs every moment, I cant use even one app, service centre says it is defect. What to do?",http://twitter.com/ramnkumar/statuses/582054112017018880,TWITTER,Post-sales,No,"Product Attributes, Experience",Neutral,Complaint,
27,#FlipkartDeal Discount: FREE charging case Lenovo Vibe X2 http://t.co/tbPC6CrHHS http://t.co/r6PNXb40uz,http://twitter.com/indiaOnDeals/statuses/582045167315615747,TWITTER,,,,Neutral,,
28,@LENOVO_A6000 Social media promotion services |Verify|Increase popularity/fans/viewers/creadibility country targeted/worldwide 9278777877,http://twitter.com/hemantsharmaSMM/statuses/582043130775506944,TWITTER,,,,Neutral,,
29,TechoTweet: Lenovo A6000 : Cheapest 4G Phone http://t.co/Arc7UKbt6k,http://twitter.com/TheTechoTweet/statuses/582024383520100352,TWITTER,,,,Neutral,,
30,TechoTweet: Lenovo S90 Selfie 4G : Selfie Lovers Will Love It http://t.co/0hltOJqD8g,http://twitter.com/TheTechoTweet/statuses/582024187054678016,TWITTER,,,,Positive,,
31,Lenovo A6000- 4G Smart Phone for Rs.6999 Only (For VISA Debit Cards Rs.6300) Sale Open for All http://t.co/Fy5xsUxe2j http://t.co/y06GOwXYtv,http://twitter.com/offerstop/statuses/582004729225424896,TWITTER,,,,Neutral,,
32,#deals #Lenovo S860 Titanium is selling cheaper by 3% at INR 14500 today http://t.co/vGRMfln7G1 #flipkart,http://twitter.com/pricetrak/statuses/581966269034844161,TWITTER,,,,Neutral,,
33,"#Lenovo launches the 4G enabled phablet, the K3 Note in China, priced at CNY 899 http://t.co/ePuiF1epHG #gadgets #smartphones",http://twitter.com/tropicalpost/statuses/581895445548531713,TWITTER,,,,Neutral,,
34,Lenovo A7000 Debuts in Barcelona  http://t.co/87XBHpBxu5 #tech #Lenovo #LenovoA7000 #smartphones #android #AndroidLollipop,http://twitter.com/freethinker02/statuses/581885181054844928,TWITTER,,,,Neutral,,
35,RT @rima_THWRK Ranbir&Rishi are touched in BESHARAM ¯_ I really want see them happy always‰ù_•üè‰ù_•üè Allah protect them•À_•À_ @LENOVO_A6000 @chintskap #RanbirKapoor,http://twitter.com/SaraLuvRK/statuses/581867628307750912,TWITTER,,,,Positive,,
36,"@Paytm ORDER NO.  824621308 I have purchased Lenovo A369i mobile, i found it is not working, So please Either you Replace or Refund my Money",http://twitter.com/Pranavmkpro/statuses/581862497390583808,TWITTER,Post-sales,No,Experience,Neutral,Complaint,
37,@Smartphones @Lenovo_in  @lenovo A6000 4GLTE Smartphone in Budget Read- http://t.co/zeP4z4r5xX,http://twitter.com/foxtrot_in/statuses/581840848322621442,TWITTER,,,,Neutral,,
38,@Smartphones @Lenovo_in  @lenovo A6000 4GLTE Smartphone in Budget Read- http://t.co/yGRuDjS4Zi http://t.co/GKstlLhFKE,http://twitter.com/amriteshfoxtrot/statuses/581840803384987648,TWITTER,,,,Neutral,,
39,@Lenovo_in @lenovo @Smartphones @applenws  @appleinsider A6000 4GLTE Smartphone in Budget Read- http://t.co/yGRuDjS4Zi http://t.co/TXloLgOU7W,http://twitter.com/amriteshfoxtrot/statuses/581839903379587072,TWITTER,,,,Neutral,,
40,Got the Lenovo A6000..Review coming soon..,http://twitter.com/techgeniussrk/statuses/581834085234028544,TWITTER,,,,Neutral,,
41,I liked a @YouTube video from @geekyranjit http://t.co/aw3cWxWL1p Lenovo A6000 Budget Android Smartphone Gaming Review,http://twitter.com/ianurag2121993/statuses/581809719628701698,TWITTER,,,,Neutral,,
42,@Lenovo_in eagerly waiting for vibe x2 pro any specific date?,http://twitter.com/hrishi102/statuses/581766376194318337,TWITTER,Pre-sales,Yes,Other (Product Launch),Neutral,Enquiry,
43,Here's a special chance to own an A6000! Book yours NOW on @Flipkart -åÊ http://t.co/gS16bI6J3u http://t.co/Pty1QOty6g,http://twitter.com/Lenovo_in/statuses/581752556449234944,TWITTER,,,,Neutral,,
44,"41% OFF On Lenovo S850(Dark Blue)  DEAL PRICE: 10,878/- MRP: 18,499/-  http://t.co/enwRdyFyK5 #AAPKaSting #AAPWar #WarInAAP #ShameOnTimesNow",http://twitter.com/StatBuys/statuses/581752013236477952,TWITTER,,,,Neutral,,
45,#Lenovo #a6000 a good phone but the problem is battery doesn't lasts long,http://twitter.com/bloodsuckerV/statuses/581746512503308288,TWITTER,Post-sales,No,"Product Attributes, Experience",Negative,Complaint,
