No.,Comment,Article URL,Platform,Pre-Sales-Sales-sales/Post-sales,Intent To Buy (Yes/ No/NA),Conversation Drivers (Product Attributes/ Pricing/ Experience of Using Product/ Customer Service/ Other),Sentiment (Positive/ Neutral/ Negative),Enquiry/ Compaint/ Praise/Other
1,"Get Karpine Lenovo A6000 Flip Cover & Screen Guard Combo for Rs 449 Only (MRP Rs 1,298)  - http://t.co/J8A6h2FHaL  - http://t.co/FkUYPMQC0Z",http://twitter.com/BaniyaDeals/statuses/582413965319221248,TWITTER,,,,Neutral,
2,RT @Lenovo_in WeŠ—Ève all had our phoneŠ—Ès batteries die when it was needed the most.Tell us about some of your funniest #PhoneyFails! http://t.co/417jk8k52l,http://twitter.com/UniversalDelhi/statuses/582412330475999232,TWITTER,,,,Neutral,
3,@flipkartsupport @Lenovo_in It will support video call or not ? A6000,http://twitter.com/_santhoshonline/statuses/582411232268787712,TWITTER,Pre-sales,NA,Product Attributes ,Neutral,Enquiry
4,#FlipkartDeal Discount: FREE charging case Lenovo Vibe X2 http://t.co/tbPC6CrHHS http://t.co/0AsY2sYuv6,http://twitter.com/indiaOnDeals/statuses/582407748190507008,TWITTER,,,,Neutral,
5,Lenovo A6000 Picture Gallery http://t.co/T4sxTebyNX #Lenovo #LenovoA6000 #A6000 #Android,http://twitter.com/Im_Ashwin/statuses/582403645016137729,TWITTER,,,,Neutral,
6,TechoTweet: Lenovo A6000 : Cheapest 4G Phone http://t.co/Arc7UKt4uU,http://twitter.com/TheTechoTweet/statuses/582389492042113024,TWITTER,,,,Neutral,
7,TechoTweet: Lenovo S90 Selfie 4G : Selfie Lovers Will Love It http://t.co/0hltOJIewQ,http://twitter.com/TheTechoTweet/statuses/582389270410854400,TWITTER,,,,Positive,
8,TechoTweet: Lenovo Vibe Shot : Always Confusing: Phone Or Came... http://t.co/fQGW2YgjxI,http://twitter.com/TheTechoTweet/statuses/582386982602571777,TWITTER,,,,Neutral,
9,TechoTweet: Lenovo A7000 : Next Stock Killer Phone By Lenovo http://t.co/7Ia5VNX789,http://twitter.com/TheTechoTweet/statuses/582386847596326912,TWITTER,Pre-sales,NA,Product Attributes,Neutral,Praise
10,"RT @Lenovo_VIBE ThereŠ—Ès nothing faux about a phone this quick, 100% genuine Intel-powered speed. #P90 #FastFurReal http://t.co/W8DKjS11va",http://twitter.com/sathishmechy1/statuses/582378180050358272,TWITTER,,,,Neutral,
11,Brown Leather Belt Pouch Flip Cover for Lenovo A6000 http://t.co/9quUIepewr,http://twitter.com/indiacod/statuses/582360781418823680,TWITTER,,,,Neutral,
12,Rainbow Scratch Guard Screen Protector for Lenovo A6000 Clear/Glossy http://t.co/bjnFmme2Ig,http://twitter.com/indiacod/statuses/582360777841082368,TWITTER,,,,Neutral,
